trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
"29d31103-248b-4ff5-b6cf-643c4a031464","4:10:00","4:10:00","3400001","0","","0","0","0.00000000",1
"29d31103-248b-4ff5-b6cf-643c4a031464","4:29:00","4:29:00","3400002","1","","0","0","18619.35000000",1
"29d31103-248b-4ff5-b6cf-643c4a031464","4:41:00","4:41:00","3400003","2","","0","0","38088.13000000",1
"29d31103-248b-4ff5-b6cf-643c4a031464","5:10:00","5:10:00","3400004.1","3","","0","0","70105.88000000",1
"29d31103-248b-4ff5-b6cf-643c4a031464","5:15:00","5:15:00","3400004.2","4","","0","0","74733.82000000",1
"29d31103-248b-4ff5-b6cf-643c4a031464","5:23:00","5:23:00","3400004.3","5","","0","0","85680.72000000",1
"29d31103-248b-4ff5-b6cf-643c4a031464","5:45:00","5:45:00","3400005","6","","0","0","106809.71000000",1
"29d31103-248b-4ff5-b6cf-643c4a031464","6:03:00","6:03:00","3400006.1","7","","0","0","126962.11000000",1
"29d31103-248b-4ff5-b6cf-643c4a031464","6:10:00","6:10:00","3400006.2","8","","0","0","133697.13000000",1
"29d31103-248b-4ff5-b6cf-643c4a031464","6:22:00","6:22:00","3400006.3","9","","0","0","137810.88000000",1
